recno;ID_ROADKILL;SESION;DATE;TRANSECT;OBSERVER;P_V;METHODOLOGY;OBSERVED;SPECIE;GROUP;STATUS;latitude;longitude;precision;utm_n;utm_e;utm_zona;LOCATION;d1;d2;D_CONSENSUS
48;8;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Erinaceus europaeus;HEDGEHOG;6;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
49;9;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;1;Lagomorph;MEDIUM_MAMMAL;5;37.545514;-5.468379;4;4158254;281934;30S;ROADWAY;8;2;2
50;9;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
51;9;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
52;9;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
53;9;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
54;9;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
55;10;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;1;Passerine;SMALL_BIRD;5;37.550705;-5.461898;4;4158815;282522;30S;ROADWAY;5;0.5;1
56;10;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
57;10;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
58;10;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
59;10;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;1;Passerine;SMALL_BIRD;5;37.550687;-5.461901;4;4158813;282522;30S;ROADWAY;NA;NA;1
60;10;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
61;11;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;1;Passerine;SMALL_BIRD;5;37.555105;-5.454147;4;4159285;283220;30S;ROADWAY;5;3;3
62;11;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;1;Passerine;SMALL_BIRD;5;37.555166;-5.454107;4;4159292;283223;30S;ROADWAY;5;2;3
63;11;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
64;11;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
65;11;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
66;11;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
67;12;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;1;Mus spretus;SMALL_MAMMAL;2;37.556447;-5.451199;5;4159427;283484;30S;ROADWAY;10;5;6
68;12;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;1;Mus spretus;SMALL_MAMMAL;2;37.556494;-5.451159;4;4159432;283488;30S;ROADWAY;15;6;6
69;12;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;6
70;12;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;6
71;12;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;6
72;12;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Mus spretus;SMALL_MAMMAL;2;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;6
73;13;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;1;Passerine;SMALL_BIRD;4;37.556951;-5.450257;4;4159481;283569;30S;ROADWAY;5;2.5;3
74;13;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;1;Passerine;SMALL_BIRD;4;37.556953;-5.450292;4;4159481;283566;30S;ROADWAY;5;2;3
75;13;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Passerine;SMALL_BIRD;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
76;13;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;0;Passerine;SMALL_BIRD;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
77;13;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Passerine;SMALL_BIRD;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
78;13;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Passerine;SMALL_BIRD;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;3
79;14;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;1;Epidalea calamita;AMPHIBIAN;4;37.559348;-5.445986;4;4159737;283953;30S;ROADWAY;5;3.5;4
80;14;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;4
81;14;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;4
82;14;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;4
83;14;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;4
84;14;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Epidalea calamita;AMPHIBIAN;4;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;4
85;15;FEBRUARY;22/02/2023;CAMPANA;1;P;WALKING;1;Lepus granatensis;MEDIUM_MAMMAL;2;37.559724;-5.445537;4;4159778;283994;30S;OUT;5;1;1
86;15;FEBRUARY;22/02/2023;CAMPANA;2;P;CYCLING;0;Lepus granatensis;MEDIUM_MAMMAL;2;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
87;15;FEBRUARY;22/02/2023;CAMPANA;3;P;DRIVING;0;Lepus granatensis;MEDIUM_MAMMAL;2;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
88;15;FEBRUARY;22/02/2023;CAMPANA;4;V;WALKING;1;Lepus granatensis;MEDIUM_MAMMAL;2;37.559721;-5.445538;4;4159778;283993;30S;OUT;NA;NA;1
89;15;FEBRUARY;22/02/2023;CAMPANA;5;V;CYCLING;0;Lepus granatensis;MEDIUM_MAMMAL;2;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
90;15;FEBRUARY;22/02/2023;CAMPANA;6;V;DRIVING;0;Lepus granatensis;MEDIUM_MAMMAL;2;NA;NA;NA;NA;NA;NA;OUT;NA;NA;1
91;16;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Lagomorph;MEDIUM_MAMMAL;5;37.588353;-5.45507;7;4162977;283234;30S;ROADWAY;20;4.5;5
92;16;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
93;16;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
94;16;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
95;16;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
96;16;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Lagomorph;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;5
97;17;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Passerine;SMALL_BIRD;3;37.588457;-5.45512;7;4162988;283230;30S;SHOULDER;15;6;6
98;17;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;SHOULDER;NA;NA;6
99;17;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;SHOULDER;NA;NA;6
100;17;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;1;Passerine;SMALL_BIRD;3;37.588397;-5.455083;7;4162982;283233;30S;SHOULDER;NA;NA;6
101;17;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;SHOULDER;NA;NA;6
102;17;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;SHOULDER;NA;NA;6
103;18;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Rodent;SMALL_MAMMAL;5;37.588466;-5.454949;5;4162989;283246;30S;ROADWAY;8;1;1
104;18;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;0;Rodent;SMALL_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
105;18;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Rodent;SMALL_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
106;18;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;0;Rodent;SMALL_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
107;18;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Rodent;SMALL_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
108;18;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Rodent;SMALL_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
109;19;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;1;Passerine;SMALL_BIRD;3;37.588521;-5.455692;4;4162997;283180;30S;ROADWAY;5;5;6
110;19;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Passerine;SMALL_BIRD;3;37.588549;-5.455693;5;4163000;283180;30S;ROADWAY;20;5.5;6
111;19;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;6
112;19;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;1;Passerine;SMALL_BIRD;3;37.588544;-5.455627;7;4162999;283186;30S;ROADWAY;NA;NA;6
113;19;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;6
114;19;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;6
115;20;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;37.588661;-5.455868;5;4163013;283165;30S;ROADWAY;12;1;1
116;20;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
117;20;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
118;20;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;1;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;37.588635;-5.455792;7;4163010;283172;30S;ROADWAY;NA;NA;1
119;20;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
120;20;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Oryctolagus cuniculus;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;1
121;21;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Passerine;SMALL_BIRD;5;37.588665;-5.455883;4;4163013;283164;30S;ROADWAY;15;0;0
122;21;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;0
123;21;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;0
124;21;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;1;Passerine;SMALL_BIRD;5;37.588661;-5.455843;5;4163013;283167;30S;ROADWAY;NA;NA;0
125;21;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;0
126;21;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Passerine;SMALL_BIRD;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;0
127;22;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;1;Passerine;SMALL_BIRD;3;37.588691;-5.456028;6;4163017;283151;30S;ROADWAY;10;2;2
128;22;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;1;Passerine;SMALL_BIRD;3;37.588723;-5.456028;4;4163020;283151;30S;ROADWAY;5;1.5;2
129;22;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
130;22;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
131;22;FEBRUARY;22/02/2023;LORA1;4;V;CYCLING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
132;22;FEBRUARY;22/02/2023;LORA1;5;V;DRIVING;0;Passerine;SMALL_BIRD;3;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
133;23;FEBRUARY;22/02/2023;LORA1;1;P;CYCLING;1;Indeterminated mammal;MEDIUM_MAMMAL;5;37.588697;-5.456035;4;4163017;283150;30S;ROADWAY;5;2;2
134;23;FEBRUARY;22/02/2023;LORA1;3;P;WALKING;0;Indeterminated mammal;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
135;23;FEBRUARY;22/02/2023;LORA1;2;P;DRIVING;0;Indeterminated mammal;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
136;23;FEBRUARY;22/02/2023;LORA1;6;V;WALKING;0;Indeterminated mammal;MEDIUM_MAMMAL;5;NA;NA;NA;NA;NA;NA;ROADWAY;NA;NA;2
